Código IBGE do Município;Nome das Grandes Regiões;Nome da Microregião;incompleto - Amarela;Incompleto - Branca; incompleto - Indígena;incompleto - Parda;Incompleto - Preta;Superior completo - Amarela;Superior completo - Branca;Superior completo - Indígena;Superior completo - Parda;Superior completo - Preta
110001;Norte;Cacoal;34;1271;31;1501;87;8;434;0;340;19
110002;Norte;Ariquemes;223;4398;13;6758;1237;109;2351;12;1552;251
110003;Norte;Colorado do Oeste;14;359;0;317;41;6;131;0;51;5
110004;Norte;Cacoal;144;5162;145;5968;825;59;2224;0;1609;198
110005;Norte;Colorado do Oeste;42;1200;0;953;62;0;473;0;243;49
110006;Norte;Colorado do Oeste;55;1007;0;1219;143;45;546;0;313;46
110007;Norte;Colorado do Oeste;51;494;4;705;64;4;97;0;100;44
110008;Norte;Guajarß-Mirim;0;448;17;966;174;7;128;11;156;54
110009;Norte;Cacoal;24;1997;19;2139;219;41;697;0;283;53
110010;Norte;Guajarß-Mirim;145;1187;336;3566;515;18;525;8;744;209
110011;Norte;Ji-Paranß;93;2181;0;3925;526;78;1108;0;873;134
110012;Norte;Ji-Paranß;431;6886;24;8942;1145;214;3237;12;2261;242
110013;Norte;Ariquemes;55;1069;0;2158;216;0;317;0;320;31
110014;Norte;Alvorada D'Oeste;12;1037;10;1461;188;0;332;0;168;46
110015;Norte;Ji-Paranß;63;1744;0;3035;383;9;745;0;605;102
110018;Norte;Vilhena;111;2052;20;2391;301;31;934;10;560;57
110020;Norte;Porto Velho;1111;17155;154;37617;5046;614;14791;40;13224;1828
110025;Norte;Ji-Paranß;28;1205;0;1771;86;39;394;0;238;20
110026;Norte;Ariquemes;6;172;0;174;22;0;43;0;19;3
110028;Norte;Cacoal;113;2807;17;3708;434;59;1542;0;800;160
110029;Norte;Cacoal;30;458;0;724;54;9;96;0;182;13
110030;Norte;Vilhena;155;4942;66;5922;587;119;3272;45;1247;140
110032;Norte;Alvorada D'Oeste;92;1038;0;1595;158;26;132;0;250;56
110033;Norte;Porto Velho;60;724;0;1513;41;30;149;0;252;0
110034;Norte;Alvorada D'Oeste;65;870;5;1313;181;0;338;0;194;23
110037;Norte;Cacoal;51;510;6;810;61;20;87;0;84;32
110040;Norte;Ariquemes;82;733;12;921;52;16;133;0;126;10
110045;Norte;Porto Velho;82;1584;0;1998;250;22;304;9;304;89
110050;Norte;Cacoal;6;584;0;745;96;0;157;0;86;11
110060;Norte;Ariquemes;10;204;0;384;66;6;84;0;54;7
110070;Norte;Porto Velho;8;515;0;882;94;0;113;0;89;16
110080;Norte;Porto Velho;36;673;4;1771;153;5;187;0;208;26
110090;Norte;Cacoal;4;196;0;308;38;0;39;0;47;6
110092;Norte;Vilhena;3;407;9;722;67;3;101;0;96;18
110094;Norte;Porto Velho;16;599;0;1148;144;20;79;0;75;10
110100;Norte;Ji-Paranß;9;482;0;808;73;0;86;0;94;0
110110;Norte;Porto Velho;19;298;0;614;87;5;70;0;88;15
110120;Norte;Cacoal;6;621;0;769;108;0;155;0;103;11
110130;Norte;Ji-Paranß;54;643;9;902;86;5;121;0;113;36
110140;Norte;Ariquemes;16;536;5;992;63;0;261;5;139;27
110143;Norte;Ji-Paranß;3;323;0;529;63;6;45;0;58;5
110145;Norte;Vilhena;0;260;3;288;34;0;91;0;40;5
110146;Norte;Colorado do Oeste;6;128;4;122;62;5;42;0;30;7
110147;Norte;Vilhena;11;208;2;214;32;0;45;0;24;0
110148;Norte;Vilhena;11;295;0;439;57;0;103;0;89;3
110149;Norte;Guajarß-Mirim;30;767;9;1210;74;5;220;0;180;21
110150;Norte;Alvorada D'Oeste;15;642;0;821;106;0;92;0;61;29
110155;Norte;Ji-Paranß;11;235;0;327;70;10;33;0;48;9
110160;Norte;Ji-Paranß;14;491;0;782;80;0;131;0;110;17
110170;Norte;Ji-Paranß;25;615;0;961;76;6;88;0;168;16
110175;Norte;Ariquemes;6;355;6;568;146;9;89;0;103;22
110180;Norte;Ji-Paranß;16;399;0;565;41;5;81;0;63;14
120001;Norte;Rio Branco;11;321;0;1110;56;4;106;0;149;18
120005;Norte;BrasilÚia;30;218;30;477;52;0;48;0;88;3
120010;Norte;BrasilÚia;30;464;0;1624;190;0;304;0;357;54
120013;Norte;Rio Branco;24;167;0;749;33;3;60;0;112;12
120017;Norte;Rio Branco;20;139;0;657;55;0;42;0;105;3
120020;Norte;Cruzeiro do Sul;126;2448;56;6470;474;11;1112;0;1646;105
120025;Norte;BrasilÚia;48;354;0;1273;97;0;175;0;345;23
120030;Norte;Tarauacß;95;730;209;1420;114;33;268;15;278;27
120032;Norte;Tarauacß;0;71;12;260;27;0;33;4;27;0
120033;Norte;Cruzeiro do Sul;34;269;176;1318;52;0;69;6;230;5
120034;Norte;Sena Madureira;11;97;4;506;19;3;27;0;117;0
120035;Norte;Cruzeiro do Sul;18;239;64;818;64;0;25;0;79;12
120038;Norte;Rio Branco;101;441;0;1399;147;20;91;0;249;45
120039;Norte;Cruzeiro do Sul;31;182;6;456;29;0;14;0;35;0
120040;Norte;Rio Branco;1156;12406;47;33390;2782;366;9998;53;12897;962
120042;Norte;Cruzeiro do Sul;11;303;0;974;46;0;83;0;146;0
120043;Norte;Sena Madureira;4;44;63;229;10;0;18;0;25;0
120045;Norte;Rio Branco;82;435;4;1719;153;0;137;0;397;21
120050;Norte;Sena Madureira;35;707;19;2479;212;0;238;0;467;0
120060;Norte;Tarauacß;178;987;58;2249;141;10;211;0;248;31
120070;Norte;BrasilÚia;50;302;0;1205;111;5;116;0;313;16
120080;Norte;Rio Branco;0;385;0;941;27;0;68;0;126;0
